mangaid,ha_z
1-22298,0.0614749
1-22298,0.06147492
1-594809,0.01601875
1-594809,0.01601875
1-22286,0.1011137
1-22286,0.1012573
1-22942,0.1050193
1-22942,0.1050195
1-22438,0.0164014
1-22438,0.0164014
1-23023,0.0270731
1-23023,0.0270731
1-22347,0.04382648
1-22347,0.04382648
1-22383,0.0542219
1-22383,0.05422191
1-22970,0.05640421
1-22970,0.05640407
1-22333,0.03661944
1-22333,0.03661539
1-22301,0.1051316
1-22301,0.1051316
1-634299,0.02253469
1-634299,0.02253469
1-22414,0.09226731
1-22414,0.09226733
1-22662,0.02712449
1-22662,0.0271245
1-22412,0.01905993
1-22412,0.01905993
1-22948,0.119176
1-22948,0.119176
1-36645,0.04401569
1-36645,0.04401558
1-36849,0.02730255
1-36849,0.02730256
1-36925,0.07516626
1-36925,0.07516637
1-37018,0.02453761
1-37018,0.02453761
1-109081,0.04387471
1-109081,0.04387473
1-37034,0.02389366
1-37034,0.02385788
1-37039,0.0439351
1-37039,0.04394265
1-36977,0.02895499
1-36977,0.02895502
1-37062,0.02477066
1-37062,0.02477066
1-36942,0.04667533
1-36942,0.04422556
1-37068,0.02468403
1-37068,0.02468403
1-37036,0.02835744
1-37036,0.02835744
1-36833,0.02202389
1-36833,0.02202389
1-109056,0.04732481
1-109056,0.04732481
1-36919,0.04577203
1-36919,0.04577203
1-36945,0.04284453
1-36945,0.04284453
1-36923,0.02451052
1-36923,0.02451052
1-36832,0.02667892
1-36832,0.02667892
1-202377,0.03556563
1-202377,0.03556565
1-37211,0.02811992
1-37211,0.02812009
1-109073,0.04359792
1-109073,0.04359328
1-36897,0.02494833
1-36897,0.02494805
1-109112,0.02256273
1-109112,0.02256387
1-109167,0.02466917
1-109167,0.02466919
1-36899,0.02443863
1-36899,0.02443863
1-37079,0.02744118
1-37079,0.02744118
1-36880,0.02367973
1-36880,0.02367973
1-36892,0.02307529
1-36892,0.02307529
1-36877,0.1378435
1-36877,0.1378435
1-36890,0.02913377
1-36890,0.02913482
1-37213,0.02829947
1-37213,0.02829949
1-37084,0.04423345
1-37084,0.04423345
1-36905,0.02190747
1-36905,0.02190748
1-36878,0.02321236
1-36878,0.02321235
1-37640,0.04279227
1-37640,0.04279227
1-109244,0.02687128
1-109244,0.02687128
1-604022,0.02282863
1-604022,0.02282863
1-38067,0.02223213
1-38067,0.02223213
1-37695,0.02820886
1-37695,0.02820886
1-37922,0.03685085
1-37922,0.03679794
1-109250,0.03836906
1-109250,0.03836907
1-37744,0.03670195
1-37744,0.03670195
1-38062,0.02303398
1-38062,0.02303399
1-37974,0.02907736
1-37974,0.02907735
1-38041,0.02104799
1-38041,0.02104799
1-37908,0.02641433
1-37908,0.02641433
1-603996,0.03765293
1-603996,0.037653
1-109284,0.06857581
1-109284,0.06857581
1-38029,0.03668037
1-38029,0.03668037
1-37769,0.04477093
1-37769,0.04477093
1-38075,0.05386575
1-38075,0.05386582
1-37671,0.08145098
1-37671,0.08145102
1-37730,-999
1-37730,-999
1-38398,0.02523937
