mangaid,sfr_tot,nsa_sersic_mass
1.180621,0.1645218,1.18099E+11
1.180621,0.1019216,1.18099E+11
1.180392,0.02685602,2.12467E+11
1.180392,0.008567941,2.12467E+11
1.180163,0.0284175,2.91406E+10
1.180163,0.02815614,2.91406E+10
1.180540,0.1549586,3.03885E+10
1.180540,0.1238425,3.03885E+10
1.180204,0.592465,5.46743E+10
1.180204,0.5829349,5.46743E+10
1.180337,0.03220389,1.78296E+09
1.180337,0.00174678,1.78296E+09
1.180576,0.03857979,1.54193E+11
1.180576,0.02245842,1.54193E+11
1.635629,0.124781,3.49993E+09
1.635629,0.1066407,3.49993E+09
1.180472,0.2026606,2.22493E+10
1.180472,0.08282831,2.22493E+10
1.180537,0.6785638,2.17435E+11
1.180537,0.1107011,2.17435E+11
1.180381,0.07164915,1.62927E+11
1.180381,0.02063213,1.62927E+11
1.180497,0.01946495,8.88093E+10
1.180497,0.004170023,8.88093E+10
1.180172,0.4327154,1.21916E+11
1.180172,0.3723837,1.21916E+11
1.180080,0.02436389,2.8079E+10
1.180080,0.01535607,2.8079E+10
1.113322,0.04259289,8.98495E+09
1.113322,0.03296071,8.98495E+09
1.113346,0.1905982,8.80831E+09
1.113346,0.1390606,8.80831E+09
